name,url,description,test_type,adaptive_support,remote_support,duration
Entry Technical - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-354,Entry level Technical assessment. Evaluates logical thinking and pattern recognition,K,yes,yes,24
Intermediate Customer Service - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-355,Intermediate level Customer Service assessment. Tests understanding of mechanical and physical principles,"K,P",no,no,25
Advanced Leadership - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-356,Advanced level Leadership assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,55
Senior IT - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-357,Senior level IT assessment. Evaluates judgment and decision-making in work scenarios,S,yes,no,35
Graduate Finance - Coding Skills Test,https://www.shl.com/solutions/products/assessment-358,Graduate level Finance assessment. Assesses programming and software development abilities,P,no,yes,65
Professional Sales - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-359,Professional level Sales assessment. Measures customer interaction and service capabilities,"P,S",no,no,40
Entry Management - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-360,Entry level Management assessment. Measures ability to understand and analyze written information,K,yes,yes,25
Intermediate Technical - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-361,Intermediate level Technical assessment. Assesses numerical and data interpretation skills,K,no,no,35
Advanced Customer Service - Inductive Reasoning Test,https://www.shl.com/solutions/products/assessment-362,Advanced level Customer Service assessment. Evaluates logical thinking and pattern recognition,K,no,yes,34
Senior Leadership - Mechanical Reasoning Test,https://www.shl.com/solutions/products/assessment-363,Senior level Leadership assessment. Tests understanding of mechanical and physical principles,"K,P",yes,no,20
Graduate IT - Personality Questionnaire,https://www.shl.com/solutions/products/assessment-364,Graduate level IT assessment. Comprehensive personality assessment for workplace behaviors,B,no,yes,50
Professional Finance - Situational Judgment Test,https://www.shl.com/solutions/products/assessment-365,Professional level Finance assessment. Evaluates judgment and decision-making in work scenarios,S,no,no,45
Entry Sales - Coding Skills Test,https://www.shl.com/solutions/products/assessment-366,Entry level Sales assessment. Assesses programming and software development abilities,P,yes,yes,60
Intermediate Management - Customer Service Skills Test,https://www.shl.com/solutions/products/assessment-367,Intermediate level Management assessment. Measures customer interaction and service capabilities,"P,S",no,no,35
Advanced Technical - Verbal Reasoning Test,https://www.shl.com/solutions/products/assessment-368,Advanced level Technical assessment. Measures ability to understand and analyze written information,K,no,yes,35
Senior Customer Service - Numerical Reasoning Test,https://www.shl.com/solutions/products/assessment-369,Senior level Customer Service assessment. Assesses numerical and data interpretation skills,K,yes,no,30
